seccion_id,votante,cantidad,tipo,concepto,cantidad_str
55,No Votantes,155.0,5,VotoBlando,155
56,No Votantes,59.0,5,VotoBlando,59
57,No Votantes,60.0,5,VotoBlando,60
58,No Votantes,53.0,5,VotoBlando,53
59,No Votantes,197.0,5,VotoBlando,197
60,No Votantes,669.0,5,VotoBlando,669
61,No Votantes,3001.0,5,VotoBlando,"3,001"
62,No Votantes,1789.0,5,VotoBlando,"1,789"
63,No Votantes,2087.0,5,VotoBlando,"2,087"
64,No Votantes,36.0,5,VotoBlando,36
65,No Votantes,116.0,5,VotoBlando,116
66,No Votantes,115.0,5,VotoBlando,115
67,No Votantes,265.0,5,VotoBlando,265
68,No Votantes,68.0,5,VotoBlando,68
69,No Votantes,144.0,5,VotoBlando,144
70,No Votantes,2424.0,5,VotoBlando,"2,424"
71,No Votantes,330.0,5,VotoBlando,330
72,No Votantes,69.0,5,VotoBlando,69
73,No Votantes,31.0,5,VotoBlando,31
74,No Votantes,163.0,5,VotoBlando,163
75,No Votantes,212.0,5,VotoBlando,212
76,No Votantes,347.0,5,VotoBlando,347
77,No Votantes,1378.0,5,VotoBlando,"1,378"
78,No Votantes,164.0,5,VotoBlando,164
79,No Votantes,1381.0,5,VotoBlando,"1,381"
80,No Votantes,1982.0,5,VotoBlando,"1,982"
81,No Votantes,113.0,5,VotoBlando,113
82,No Votantes,327.0,5,VotoBlando,327
83,No Votantes,178.0,5,VotoBlando,178
84,No Votantes,968.0,5,VotoBlando,968
85,No Votantes,304.0,5,VotoBlando,304
86,No Votantes,26.0,5,VotoBlando,26
87,No Votantes,564.0,5,VotoBlando,564
88,No Votantes,9.0,5,VotoBlando,9
89,No Votantes,815.0,5,VotoBlando,815
90,No Votantes,13.0,5,VotoBlando,13
91,No Votantes,91.0,5,VotoBlando,91
92,No Votantes,2193.0,5,VotoBlando,"2,193"
93,No Votantes,163.0,5,VotoBlando,163
94,No Votantes,57.0,5,VotoBlando,57
95,No Votantes,40.0,5,VotoBlando,40
96,No Votantes,107.0,5,VotoBlando,107
97,No Votantes,72.0,5,VotoBlando,72
98,No Votantes,160.0,5,VotoBlando,160
99,No Votantes,166.0,5,VotoBlando,166
100,No Votantes,30.0,5,VotoBlando,30
101,No Votantes,117.0,5,VotoBlando,117
